                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9861,                  4.874,                 4.0518,                0.34038,                0.01126,                0.00448,                0.00114,                 2.8662,                 5.6169,                 3.7422,             0.00023711,             0.00023711,             0.00023711
                      2,                  2.682,                 4.2122,                 3.3721,                 0.5346,                0.03741,                0.01923,                0.00629,                 2.5247,                 4.3859,                 3.1454,             0.00042807,             0.00042807,             0.00042807
                      3,                 2.4213,                 3.6617,                 3.0118,                0.01422,                0.41438,                0.03166,                0.01108,                 2.4004,                 3.7933,                 3.1151,             0.00057191,             0.00057191,             0.00057191
                      4,                 2.2536,                 3.3045,                 2.8121,                0.30573,                0.11338,                0.07868,                0.03229,                 2.1828,                 3.2526,                 2.7744,             0.00050194,             0.00050194,             0.00050194
                      5,                 2.1392,                 3.0357,                  2.653,                 0.1346,                0.15149,                0.10933,                0.04771,                 2.0662,                 2.9388,                 2.5872,             0.00050194,             0.00050194,             0.00050194
                      6,                 2.0224,                 2.8209,                 2.5228,                 0.1848,                0.18833,                0.13644,                0.06178,                 1.9989,                 2.7156,                 2.4833,             0.00043126,             0.00043126,             0.00043126
                      7,                 1.9369,                 2.6657,                 2.4229,                0.20223,                0.21877,                0.17008,                0.08146,                 1.9364,                 2.6789,                 2.4403,             0.00036057,             0.00036057,             0.00036057
                      8,                  1.876,                  2.556,                 2.3707,                0.21393,                0.26744,                0.19838,                  0.098,                 1.8687,                 2.4551,                 2.3386,             0.00028988,             0.00028988,             0.00028988
                      9,                 1.8229,                 2.4461,                 2.2966,                0.24774,                0.28085,                0.21701,                0.10934,                 1.8141,                 2.3964,                 2.2817,              0.0002192,              0.0002192,              0.0002192
                     10,                 1.7713,                  2.377,                 2.2546,                0.27757,                 0.3115,                0.24563,                0.13186,                 1.7449,                 2.2651,                 2.2158,             0.00014851,             0.00014851,             0.00014851
